type_annonce,nombre_pieces,prix (F CFA),Adresse,Image Link
Vente,5,330.000.000,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166100_uploaded_image1_1738535125.jpg
Vente,8,90.000.000,"Lac rose, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195878_uploaded_image1_1740090426.jpg
Location,Non spécifié,800.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195877_uploaded_image1_1740090237.jpg
Vente,150,75.000.000,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195784_uploaded_image1_1740086296.jpg
Vente,6,150.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5151732_uploaded_image1_1737744063.jpg
Vente,10,250.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195624_uploaded_image1_1740078915.jpg
Location,4,600.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195621_uploaded_image1_1740078754.jpg
Location,14,1.500.000,"Sacré-Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195312_uploaded_image1_1740068058.jpg
Vente,5,259.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195284_uploaded_image1_1740066719.jpg
Location,3,375.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195272_uploaded_image1_1740066494.jpg
Vente,5,135.000.000,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194960_uploaded_image1_1740055220.jpg
Vente,8,130.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194923_uploaded_image1_1740054261.jpg
Location,5,500.000,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194895_uploaded_image1_1740053632.jpg
Location,6,750.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194764_uploaded_image1_1740050158.jpg
Location,10,3.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179772_uploaded_image1_1739222303.jpg
Vente,3,Prix.sur.demande,"Ngaparou, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194252_uploaded_image1_1740013680.jpg
Vente,5,450.000.000,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194097_uploaded_image1_1740004942.jpg
Vente,6,Prix.sur.demande,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194088_uploaded_image1_1740004615.jpg
Location,9,1.500.000,"Sicap foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5150235_uploaded_image1_1737665430.jpg
Vente,7,160.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193721_uploaded_image1_1739989208.jpg
Vente,70,Prix.sur.demande,"Ziguinchor, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193561_uploaded_image1_1739984206.jpg
Location,4,250.000,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193464_uploaded_image1_1739981886.jpg
Vente,15,200.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5144168_uploaded_image1_1737393431.jpg
Location,10,1.500.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5149288_uploaded_image1_1737634014.jpg
Location,4,500.000,"Biscuiterie, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192577_uploaded_image1_1739949022.jpg
Vente,8,350.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5148341_uploaded_image1_1737579149.jpg
Vente,5,77.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192212_uploaded_image1_1739913198.jpg
Vente,7,Prix.sur.demande,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5142562_uploaded_image1_1737306301.jpg
Vente,3,63.000.000,"Mboro, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189868_uploaded_image1_1739807005.jpg
Location,8,3.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5145098_uploaded_image1_1737449642.jpg
location,6,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5145090_uploaded_image1_1737449261.jpg
location,4,750.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5144729_uploaded_image1_1737418744.jpg
Location,Non spécifié,1.500.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147689_uploaded_image1_1737556071.59.jpeg
Vente,15,120.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5142640_uploaded_image1_1737310338.jpg
Vente,15,450.000.000,"Djily MBaye, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187596_uploaded_image1_1739655079.jpg
Vente,5,150.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187580_uploaded_image1_1739654330.jpg
